,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Waterford RiNo,A-1011,0x1,685,1842,06/30/2023,False
1,Waterford RiNo,A-1011,0x1,685,1842,07/01/2023,False
2,Waterford RiNo,A-1011,0x1,685,1842,07/02/2023,False
3,Waterford RiNo,A-1011,0x1,685,1842,07/03/2023,False
4,Waterford RiNo,A-1011,0x1,685,1990,07/04/2023,False
5,Waterford RiNo,A-1011,0x1,685,1990,07/05/2023,False
6,Waterford RiNo,A-1011,0x1,685,1990,07/06/2023,False
7,Waterford RiNo,A-1011,0x1,685,1990,07/07/2023,False
8,Waterford RiNo,A-1011,0x1,685,1990,07/08/2023,False
9,Waterford RiNo,A-1011,0x1,685,1990,07/09/2023,False
10,Waterford RiNo,A-1011,0x1,685,1990,07/10/2023,False
11,Waterford RiNo,A-1011,0x1,685,1990,07/11/2023,False
12,Waterford RiNo,A-1011,0x1,685,1968,07/12/2023,False
13,Waterford RiNo,A-1011,0x1,685,1968,07/13/2023,False
14,Waterford RiNo,A-1011,0x1,685,1925,07/14/2023,False
15,Waterford RiNo,A-1011,0x1,685,1925,07/15/2023,False
16,Waterford RiNo,A-1011,0x1,685,1925,07/16/2023,False
17,Waterford RiNo,A-1011,0x1,685,2009,07/17/2023,False
18,Waterford RiNo,A-1011,0x1,685,2009,07/18/2023,False
19,Waterford RiNo,A-1011,0x1,685,2009,07/19/2023,False
20,Waterford RiNo,A-1011,0x1,685,2009,07/20/2023,False
21,Waterford RiNo,A-1011,0x1,685,1994,07/21/2023,False
22,Waterford RiNo,A-1011,0x1,685,1994,07/22/2023,False
23,Waterford RiNo,A-1011,0x1,685,1994,07/23/2023,False
24,Waterford RiNo,A-1011,0x1,685,1994,07/24/2023,False
25,Waterford RiNo,A-1011,0x1,685,1994,07/25/2023,False
26,Waterford RiNo,A-1011,0x1,685,2007,07/26/2023,False
27,Waterford RiNo,A-1011,0x1,685,2007,07/27/2023,False
28,Waterford RiNo,A-1011,0x1,685,2007,07/28/2023,False
29,Waterford RiNo,A-1011,0x1,685,2007,07/29/2023,False
30,Waterford RiNo,A-1011,0x1,685,2016,07/30/2023,False
31,Waterford RiNo,A-1011,0x1,685,2016,07/31/2023,False
32,Waterford RiNo,A-1011,0x1,685,1974,08/01/2023,False
33,Waterford RiNo,A-1011,0x1,685,1974,08/02/2023,False
34,Waterford RiNo,A-1011,0x1,685,1974,08/03/2023,False
35,Waterford RiNo,A-1011,0x1,685,1972,08/04/2023,False
36,Waterford RiNo,A-1011,0x1,685,1972,08/05/2023,False
37,Waterford RiNo,A-1011,0x1,685,1972,08/06/2023,False
38,Waterford RiNo,A-1011,0x1,685,1972,08/07/2023,False
39,Waterford RiNo,A-1011,0x1,685,1934,08/08/2023,False
40,Waterford RiNo,A-1011,0x1,685,1934,08/09/2023,False
41,Waterford RiNo,A-1011,0x1,685,1934,08/10/2023,False
42,Waterford RiNo,A-1011,0x1,685,1888,08/11/2023,False
43,Waterford RiNo,A-1011,0x1,685,1816,08/12/2023,False
44,Waterford RiNo,A-1011,0x1,685,1816,08/13/2023,False
45,Waterford RiNo,A-1011,0x1,685,1816,08/14/2023,False
46,Waterford RiNo,A-1011,0x1,685,1816,08/15/2023,False
47,Waterford RiNo,A-1011,0x1,685,1790,08/16/2023,False
48,Waterford RiNo,A-1011,0x1,685,1641,08/17/2023,False
49,Waterford RiNo,A-1011,0x1,685,1623,08/18/2023,False
50,Waterford RiNo,A-1011,0x1,685,1623,08/19/2023,False
51,Waterford RiNo,A-1011,0x1,685,1623,08/20/2023,False
52,Waterford RiNo,A-1011,0x1,685,1623,08/21/2023,False
53,Waterford RiNo,A-1011,0x1,685,1551,08/22/2023,False
54,Waterford RiNo,A-1011,0x1,685,1519,08/23/2023,False
55,Waterford RiNo,A-1011,0x1,685,1452,08/24/2023,False
56,Waterford RiNo,A-1011,0x1,685,1420,08/25/2023,False
57,Waterford RiNo,A-1011,0x1,685,1427,08/26/2023,False
58,Waterford RiNo,A-1011,0x1,685,1427,08/27/2023,False
59,Waterford RiNo,A-1011,0x1,685,1439,08/28/2023,False
60,Waterford RiNo,A-1011,0x1,685,1439,08/29/2023,False
61,Waterford RiNo,A-1011,0x1,685,1439,08/30/2023,False
62,Waterford RiNo,A-1011,0x1,685,1439,08/31/2023,True
63,Waterford RiNo,A-1011,0x1,685,1572,08/26/2024,False
64,Waterford RiNo,A-1011,0x1,685,1567,08/27/2024,False
65,Waterford RiNo,A-1011,0x1,685,1562,08/28/2024,False
66,Waterford RiNo,A-1011,0x1,685,1592,08/29/2024,False
67,Waterford RiNo,A-1011,0x1,685,1908,08/30/2024,False
68,Waterford RiNo,A-1011,0x1,685,1909,08/31/2024,False
69,Waterford RiNo,A-1011,0x1,685,1908,09/01/2024,False
70,Waterford RiNo,A-1011,0x1,685,1909,09/02/2024,False
71,Waterford RiNo,A-1011,0x1,685,1909,09/03/2024,False
72,Waterford RiNo,A-1011,0x1,685,1910,09/04/2024,False
73,Waterford RiNo,A-1011,0x1,685,1909,09/05/2024,False
74,Waterford RiNo,A-1011,0x1,685,1908,09/06/2024,False
75,Waterford RiNo,A-1011,0x1,685,1908,09/07/2024,False
76,Waterford RiNo,A-1011,0x1,685,1909,09/08/2024,False
77,Waterford RiNo,A-1011,0x1,685,1909,09/09/2024,False
78,Waterford RiNo,A-1011,0x1,685,1910,09/10/2024,False
79,Waterford RiNo,A-1011,0x1,685,1914,09/11/2024,False
80,Waterford RiNo,A-1011,0x1,685,1912,09/12/2024,False
81,Waterford RiNo,A-1011,0x1,685,1912,09/13/2024,False
82,Waterford RiNo,A-1011,0x1,685,1914,09/14/2024,False
83,Waterford RiNo,A-1011,0x1,685,1912,09/15/2024,False
84,Waterford RiNo,A-1011,0x1,685,1914,09/16/2024,False
85,Waterford RiNo,A-1011,0x1,685,1913,09/17/2024,False
86,Waterford RiNo,A-1011,0x1,685,1914,09/18/2024,False
87,Waterford RiNo,A-1011,0x1,685,1913,09/19/2024,False
88,Waterford RiNo,A-1011,0x1,685,1912,09/20/2024,False
89,Waterford RiNo,A-1011,0x1,685,1909,09/21/2024,False
90,Waterford RiNo,A-1011,0x1,685,1906,09/22/2024,False
91,Waterford RiNo,A-1011,0x1,685,1902,09/23/2024,False
92,Waterford RiNo,A-1011,0x1,685,1899,09/24/2024,False
93,Waterford RiNo,A-1011,0x1,685,1896,09/25/2024,False
94,Waterford RiNo,A-1011,0x1,685,1894,09/26/2024,False
95,Waterford RiNo,A-1011,0x1,685,1879,09/27/2024,False
96,Waterford RiNo,A-1011,0x1,685,1872,09/28/2024,False
97,Waterford RiNo,A-1011,0x1,685,1864,09/29/2024,False
98,Waterford RiNo,A-1011,0x1,685,1851,09/30/2024,False
99,Waterford RiNo,A-1011,0x1,685,1851,10/01/2024,False
100,Waterford RiNo,A-1011,0x1,685,1471,10/02/2024,False
101,Waterford RiNo,A-1011,0x1,685,1475,10/03/2024,False
102,Waterford RiNo,A-1011,0x1,685,1408,10/04/2024,False
103,Waterford RiNo,A-1011,0x1,685,1400,10/05/2024,False
104,Waterford RiNo,A-1011,0x1,685,1400,10/06/2024,False
105,Waterford RiNo,A-1011,0x1,685,1424,10/07/2024,False
106,Waterford RiNo,A-1011,0x1,685,1424,10/08/2024,False
107,Waterford RiNo,A-1011,0x1,685,1424,10/09/2024,False
108,Waterford RiNo,A-1011,0x1,685,1424,10/10/2024,False
109,Waterford RiNo,A-1011,0x1,685,1424,10/11/2024,False
110,Waterford RiNo,A-1011,0x1,685,1422,10/12/2024,False
111,Waterford RiNo,A-1011,0x1,685,1434,10/13/2024,False
112,Waterford RiNo,A-1011,0x1,685,1433,10/14/2024,False
113,Waterford RiNo,A-1011,0x1,685,1370,10/15/2024,False
114,Waterford RiNo,A-1011,0x1,685,1370,10/16/2024,False
115,Waterford RiNo,A-1011,0x1,685,1369,10/17/2024,False
116,Waterford RiNo,A-1011,0x1,685,1367,10/18/2024,False
117,Waterford RiNo,A-1011,0x1,685,1370,10/19/2024,False
118,Waterford RiNo,A-1011,0x1,685,1374,10/20/2024,False
119,Waterford RiNo,A-1011,0x1,685,1378,10/21/2024,False
120,Waterford RiNo,A-1011,0x1,685,1381,10/22/2024,False
121,Waterford RiNo,A-1011,0x1,685,1386,10/23/2024,False
122,Waterford RiNo,A-1011,0x1,685,1390,10/24/2024,False
123,Waterford RiNo,A-1011,0x1,685,1393,10/25/2024,False
124,Waterford RiNo,A-1011,0x1,685,1394,10/26/2024,False
125,Waterford RiNo,A-1011,0x1,685,1392,10/27/2024,False
126,Waterford RiNo,A-1011,0x1,685,1390,10/28/2024,False
127,Waterford RiNo,A-1011,0x1,685,1392,10/29/2024,False
128,Waterford RiNo,A-1011,0x1,685,1392,10/30/2024,False
129,Waterford RiNo,A-1011,0x1,685,1391,10/31/2024,False
130,Waterford RiNo,A-1011,0x1,685,1391,11/01/2024,False
131,Waterford RiNo,A-1011,0x1,685,1391,11/02/2024,False
132,Waterford RiNo,A-1011,0x1,685,1390,11/03/2024,False
133,Waterford RiNo,A-1011,0x1,685,1390,11/04/2024,False
134,Waterford RiNo,A-1011,0x1,685,1390,11/05/2024,False
135,Waterford RiNo,A-1011,0x1,685,1390,11/06/2024,False
136,Waterford RiNo,A-1011,0x1,685,1390,11/07/2024,False
137,Waterford RiNo,A-1011,0x1,685,1390,11/08/2024,False
138,Waterford RiNo,A-1011,0x1,685,1390,11/09/2024,False
139,Waterford RiNo,A-1011,0x1,685,1390,11/10/2024,False
140,Waterford RiNo,A-1011,0x1,685,1390,11/11/2024,False
141,Waterford RiNo,A-1011,0x1,685,1390,11/12/2024,False
142,Waterford RiNo,A-1011,0x1,685,1390,11/13/2024,False
143,Waterford RiNo,A-1011,0x1,685,1390,11/14/2024,False
144,Waterford RiNo,A-1011,0x1,685,1426,11/15/2024,False
145,Waterford RiNo,A-1011,0x1,685,1426,11/16/2024,False
146,Waterford RiNo,A-1011,0x1,685,1426,11/17/2024,False
147,Waterford RiNo,A-1011,0x1,685,1424,11/18/2024,False
148,Waterford RiNo,A-1011,0x1,685,1427,11/19/2024,False
149,Waterford RiNo,A-1011,0x1,685,1421,11/20/2024,False
150,Waterford RiNo,A-1011,0x1,685,1403,11/21/2024,False
151,Waterford RiNo,A-1011,0x1,685,1524,11/22/2024,False
152,Waterford RiNo,A-1011,0x1,685,1391,11/23/2024,False
153,Waterford RiNo,A-1011,0x1,685,1386,11/24/2024,False
154,Waterford RiNo,A-1011,0x1,685,1380,11/25/2024,False
155,Waterford RiNo,A-1011,0x1,685,1505,11/26/2024,False
156,Waterford RiNo,A-1011,0x1,685,1372,11/27/2024,False
157,Waterford RiNo,A-1011,0x1,685,1366,11/28/2024,False
158,Waterford RiNo,A-1011,0x1,685,1360,11/29/2024,False
159,Waterford RiNo,A-1011,0x1,685,1355,11/30/2024,False
160,Waterford RiNo,A-1011,0x1,685,1348,12/01/2024,False
161,Waterford RiNo,A-1011,0x1,685,1348,12/02/2024,False
162,Waterford RiNo,A-1011,0x1,685,1337,12/03/2024,False
163,Waterford RiNo,A-1011,0x1,685,1337,12/04/2024,True
164,Waterford RiNo,A-1018,0x1,570,1488,01/13/2024,False
165,Waterford RiNo,A-1018,0x1,570,1488,01/14/2024,False
166,Waterford RiNo,A-1018,0x1,570,1488,01/15/2024,False
167,Waterford RiNo,A-1018,0x1,570,1453,01/16/2024,False
168,Waterford RiNo,A-1018,0x1,570,1393,01/17/2024,False
169,Waterford RiNo,A-1018,0x1,570,1393,01/18/2024,False
170,Waterford RiNo,A-1018,0x1,570,1393,01/19/2024,False
171,Waterford RiNo,A-1018,0x1,570,1393,01/20/2024,False
172,Waterford RiNo,A-1018,0x1,570,1393,01/21/2024,False
173,Waterford RiNo,A-1018,0x1,570,1393,01/22/2024,False
174,Waterford RiNo,A-1018,0x1,570,1391,01/23/2024,False
175,Waterford RiNo,A-1018,0x1,570,1357,01/24/2024,False
176,Waterford RiNo,A-1018,0x1,570,1357,01/25/2024,False
177,Waterford RiNo,A-1018,0x1,570,1354,01/26/2024,False
178,Waterford RiNo,A-1018,0x1,570,1349,01/27/2024,False
179,Waterford RiNo,A-1018,0x1,570,1346,01/28/2024,False
180,Waterford RiNo,A-1018,0x1,570,1342,01/29/2024,False
181,Waterford RiNo,A-1018,0x1,570,1338,01/30/2024,False
182,Waterford RiNo,A-1018,0x1,570,1446,01/31/2024,False
183,Waterford RiNo,A-1018,0x1,570,1441,02/01/2024,False
184,Waterford RiNo,A-1018,0x1,570,1437,02/02/2024,False
185,Waterford RiNo,A-1018,0x1,570,1434,02/03/2024,False
186,Waterford RiNo,A-1018,0x1,570,1429,02/04/2024,False
187,Waterford RiNo,A-1018,0x1,570,1425,02/05/2024,False
188,Waterford RiNo,A-1018,0x1,570,1417,02/06/2024,False
189,Waterford RiNo,A-1018,0x1,570,1414,02/07/2024,False
190,Waterford RiNo,A-1018,0x1,570,1406,02/08/2024,False
191,Waterford RiNo,A-1018,0x1,570,1340,02/09/2024,False
192,Waterford RiNo,A-1018,0x1,570,1340,02/10/2024,False
193,Waterford RiNo,A-1018,0x1,570,1340,02/11/2024,False
194,Waterford RiNo,A-1018,0x1,570,1340,02/12/2024,False
195,Waterford RiNo,A-1018,0x1,570,1340,02/13/2024,True
196,Waterford RiNo,A-1018,0x1,570,1482,02/02/2025,False
197,Waterford RiNo,A-1018,0x1,570,1461,02/03/2025,False
198,Waterford RiNo,A-1018,0x1,570,1451,02/04/2025,False
199,Waterford RiNo,A-1018,0x1,570,1288,02/05/2025,False
200,Waterford RiNo,A-1018,0x1,570,1288,02/06/2025,False
201,Waterford RiNo,A-1018,0x1,570,1289,02/07/2025,False
202,Waterford RiNo,A-1018,0x1,570,1288,02/08/2025,False
203,Waterford RiNo,A-1018,0x1,570,1288,02/09/2025,False
204,Waterford RiNo,A-1018,0x1,570,1288,02/10/2025,False
205,Waterford RiNo,A-1018,0x1,570,1291,02/11/2025,False
206,Waterford RiNo,A-1018,0x1,570,1295,02/12/2025,False
207,Waterford RiNo,A-1018,0x1,570,1298,02/13/2025,False
208,Waterford RiNo,A-1018,0x1,570,1300,02/14/2025,False
209,Waterford RiNo,A-1018,0x1,570,1304,02/15/2025,False
210,Waterford RiNo,A-1018,0x1,570,1307,02/16/2025,False
211,Waterford RiNo,A-1018,0x1,570,1310,02/17/2025,False
212,Waterford RiNo,A-1018,0x1,570,1313,02/18/2025,False
213,Waterford RiNo,A-1018,0x1,570,1355,02/19/2025,False
214,Waterford RiNo,A-1018,0x1,570,1358,02/20/2025,False
215,Waterford RiNo,A-1018,0x1,570,1362,02/21/2025,False
216,Waterford RiNo,A-1018,0x1,570,1361,02/22/2025,False
217,Waterford RiNo,A-1018,0x1,570,1366,02/23/2025,False
218,Waterford RiNo,A-1018,0x1,570,1370,02/24/2025,False
219,Waterford RiNo,A-1018,0x1,570,1375,02/25/2025,False
220,Waterford RiNo,A-1018,0x1,570,1381,02/26/2025,False
221,Waterford RiNo,A-1018,0x1,570,1369,02/27/2025,False
222,Waterford RiNo,A-1018,0x1,570,1376,02/28/2025,False
223,Waterford RiNo,A-1018,0x1,570,1408,03/01/2025,False
224,Waterford RiNo,A-1018,0x1,570,1414,03/02/2025,False
225,Waterford RiNo,A-1018,0x1,570,1422,03/03/2025,False
226,Waterford RiNo,A-1018,0x1,570,1436,03/04/2025,False
227,Waterford RiNo,A-1018,0x1,570,1460,03/05/2025,False
228,Waterford RiNo,A-1018,0x1,570,1633,03/06/2025,False
229,Waterford RiNo,A-1018,0x1,570,1439,03/07/2025,False
230,Waterford RiNo,A-1018,0x1,570,1433,03/08/2025,False
231,Waterford RiNo,A-1018,0x1,570,1433,03/09/2025,False
232,Waterford RiNo,A-1018,0x1,570,1445,03/10/2025,False
233,Waterford RiNo,A-1018,0x1,570,1484,03/11/2025,False
234,Waterford RiNo,A-1018,0x1,570,1511,03/12/2025,False
235,Waterford RiNo,A-1018,0x1,570,1512,03/13/2025,False
236,Waterford RiNo,A-1018,0x1,570,1514,03/14/2025,False
237,Waterford RiNo,A-1018,0x1,570,1514,03/15/2025,False
238,Waterford RiNo,A-1018,0x1,570,1484,03/16/2025,False
239,Waterford RiNo,A-1018,0x1,570,1485,03/17/2025,False
240,Waterford RiNo,A-1018,0x1,570,1502,03/18/2025,False
241,Waterford RiNo,A-1018,0x1,570,1502,03/19/2025,False
242,Waterford RiNo,A-1018,0x1,570,1444,03/20/2025,False
243,Waterford RiNo,A-1018,0x1,570,1450,03/21/2025,False
244,Waterford RiNo,A-1018,0x1,570,1498,03/22/2025,False
245,Waterford RiNo,A-1018,0x1,570,1496,03/23/2025,False
246,Waterford RiNo,A-1018,0x1,570,1469,03/24/2025,False
247,Waterford RiNo,A-1018,0x1,570,1327,03/25/2025,False
248,Waterford RiNo,A-1018,0x1,570,1371,03/26/2025,False
249,Waterford RiNo,A-1018,0x1,570,1371,03/27/2025,False
250,Waterford RiNo,A-1018,0x1,570,1371,03/28/2025,False
251,Waterford RiNo,A-1018,0x1,570,1371,03/29/2025,False
252,Waterford RiNo,A-1018,0x1,570,1371,03/30/2025,False
253,Waterford RiNo,A-1018,0x1,570,1371,03/31/2025,False
254,Waterford RiNo,A-1018,0x1,570,1371,04/01/2025,True
255,Waterford RiNo,A-1019,0x1,570,1660,07/12/2024,False
256,Waterford RiNo,A-1019,0x1,570,1660,07/13/2024,False
257,Waterford RiNo,A-1019,0x1,570,1660,07/14/2024,False
258,Waterford RiNo,A-1019,0x1,570,1660,07/15/2024,False
259,Waterford RiNo,A-1019,0x1,570,1660,07/16/2024,False
260,Waterford RiNo,A-1019,0x1,570,1660,07/17/2024,False
261,Waterford RiNo,A-1019,0x1,570,1660,07/18/2024,False
262,Waterford RiNo,A-1019,0x1,570,1660,07/19/2024,False
263,Waterford RiNo,A-1019,0x1,570,1660,07/20/2024,False
264,Waterford RiNo,A-1019,0x1,570,1660,07/21/2024,False
265,Waterford RiNo,A-1019,0x1,570,1660,07/22/2024,False
266,Waterford RiNo,A-1019,0x1,570,1660,07/23/2024,False
267,Waterford RiNo,A-1019,0x1,570,1660,07/24/2024,False
268,Waterford RiNo,A-1019,0x1,570,1660,07/25/2024,False
269,Waterford RiNo,A-1019,0x1,570,1660,07/26/2024,False
270,Waterford RiNo,A-1019,0x1,570,1660,07/27/2024,False
271,Waterford RiNo,A-1019,0x1,570,1660,07/28/2024,False
272,Waterford RiNo,A-1019,0x1,570,1660,07/29/2024,False
273,Waterford RiNo,A-1019,0x1,570,1660,07/30/2024,False
274,Waterford RiNo,A-1019,0x1,570,1706,07/31/2024,False
275,Waterford RiNo,A-1019,0x1,570,1706,08/01/2024,False
276,Waterford RiNo,A-1019,0x1,570,1706,08/02/2024,False
277,Waterford RiNo,A-1019,0x1,570,1706,08/03/2024,False
278,Waterford RiNo,A-1019,0x1,570,1706,08/04/2024,False
279,Waterford RiNo,A-1019,0x1,570,1706,08/05/2024,False
280,Waterford RiNo,A-1019,0x1,570,1702,08/06/2024,False
281,Waterford RiNo,A-1019,0x1,570,1696,08/07/2024,False
282,Waterford RiNo,A-1019,0x1,570,1689,08/08/2024,False
283,Waterford RiNo,A-1019,0x1,570,1682,08/09/2024,False
284,Waterford RiNo,A-1019,0x1,570,1674,08/10/2024,False
285,Waterford RiNo,A-1019,0x1,570,1668,08/11/2024,False
286,Waterford RiNo,A-1019,0x1,570,1661,08/12/2024,False
287,Waterford RiNo,A-1019,0x1,570,1657,08/13/2024,False
288,Waterford RiNo,A-1019,0x1,570,1661,08/14/2024,False
289,Waterford RiNo,A-1019,0x1,570,1666,08/15/2024,False
290,Waterford RiNo,A-1019,0x1,570,1589,08/16/2024,False
291,Waterford RiNo,A-1019,0x1,570,1587,08/17/2024,False
292,Waterford RiNo,A-1019,0x1,570,1584,08/18/2024,False
293,Waterford RiNo,A-1019,0x1,570,1579,08/19/2024,False
294,Waterford RiNo,A-1019,0x1,570,1574,08/20/2024,False
295,Waterford RiNo,A-1019,0x1,570,1570,08/21/2024,False
296,Waterford RiNo,A-1019,0x1,570,1565,08/22/2024,False
297,Waterford RiNo,A-1019,0x1,570,1561,08/23/2024,False
298,Waterford RiNo,A-1019,0x1,570,1556,08/24/2024,False
299,Waterford RiNo,A-1019,0x1,570,1556,08/25/2024,False
300,Waterford RiNo,A-1019,0x1,570,1546,08/26/2024,False
301,Waterford RiNo,A-1019,0x1,570,1541,08/27/2024,False
302,Waterford RiNo,A-1019,0x1,570,1536,08/28/2024,False
303,Waterford RiNo,A-1019,0x1,570,1532,08/29/2024,False
304,Waterford RiNo,A-1019,0x1,570,1532,08/30/2024,False
305,Waterford RiNo,A-1019,0x1,570,1877,08/31/2024,False
306,Waterford RiNo,A-1019,0x1,570,1876,09/01/2024,False
307,Waterford RiNo,A-1019,0x1,570,1878,09/02/2024,False
308,Waterford RiNo,A-1019,0x1,570,1878,09/03/2024,False
309,Waterford RiNo,A-1019,0x1,570,1878,09/04/2024,False
310,Waterford RiNo,A-1019,0x1,570,1878,09/05/2024,False
311,Waterford RiNo,A-1019,0x1,570,1876,09/06/2024,False
312,Waterford RiNo,A-1019,0x1,570,1877,09/07/2024,False
313,Waterford RiNo,A-1019,0x1,570,1878,09/08/2024,False
314,Waterford RiNo,A-1019,0x1,570,1878,09/09/2024,False
315,Waterford RiNo,A-1019,0x1,570,1878,09/10/2024,False
316,Waterford RiNo,A-1019,0x1,570,1882,09/11/2024,False
317,Waterford RiNo,A-1019,0x1,570,1881,09/12/2024,False
318,Waterford RiNo,A-1019,0x1,570,1880,09/13/2024,False
319,Waterford RiNo,A-1019,0x1,570,1883,09/14/2024,False
320,Waterford RiNo,A-1019,0x1,570,1881,09/15/2024,False
321,Waterford RiNo,A-1019,0x1,570,1882,09/16/2024,False
322,Waterford RiNo,A-1019,0x1,570,1882,09/17/2024,False
323,Waterford RiNo,A-1019,0x1,570,1882,09/18/2024,False
324,Waterford RiNo,A-1019,0x1,570,1881,09/19/2024,False
325,Waterford RiNo,A-1019,0x1,570,1881,09/20/2024,False
326,Waterford RiNo,A-1019,0x1,570,1878,09/21/2024,False
327,Waterford RiNo,A-1019,0x1,570,1874,09/22/2024,False
328,Waterford RiNo,A-1019,0x1,570,1871,09/23/2024,False
329,Waterford RiNo,A-1019,0x1,570,1868,09/24/2024,False
330,Waterford RiNo,A-1019,0x1,570,1865,09/25/2024,False
331,Waterford RiNo,A-1019,0x1,570,1863,09/26/2024,False
332,Waterford RiNo,A-1019,0x1,570,1848,09/27/2024,False
333,Waterford RiNo,A-1019,0x1,570,1842,09/28/2024,False
334,Waterford RiNo,A-1019,0x1,570,1834,09/29/2024,False
335,Waterford RiNo,A-1019,0x1,570,1820,09/30/2024,False
336,Waterford RiNo,A-1019,0x1,570,1820,10/01/2024,False
337,Waterford RiNo,A-1019,0x1,570,1447,10/02/2024,False
338,Waterford RiNo,A-1019,0x1,570,1451,10/03/2024,False
339,Waterford RiNo,A-1019,0x1,570,1385,10/04/2024,False
340,Waterford RiNo,A-1019,0x1,570,1377,10/05/2024,False
341,Waterford RiNo,A-1019,0x1,570,1377,10/06/2024,True
342,Waterford RiNo,A-1021,1x1,700,1736,06/28/2024,False
343,Waterford RiNo,A-1021,1x1,700,1736,06/29/2024,False
344,Waterford RiNo,A-1021,1x1,700,1736,06/30/2024,False
345,Waterford RiNo,A-1021,1x1,700,1736,07/01/2024,False
346,Waterford RiNo,A-1021,1x1,700,1736,07/02/2024,False
347,Waterford RiNo,A-1021,1x1,700,1736,07/03/2024,False
348,Waterford RiNo,A-1021,1x1,700,1736,07/04/2024,False
349,Waterford RiNo,A-1021,1x1,700,1736,07/05/2024,False
350,Waterford RiNo,A-1021,1x1,700,1736,07/06/2024,False
351,Waterford RiNo,A-1021,1x1,700,1736,07/07/2024,False
352,Waterford RiNo,A-1021,1x1,700,1736,07/08/2024,False
353,Waterford RiNo,A-1021,1x1,700,1736,07/09/2024,False
354,Waterford RiNo,A-1021,1x1,700,1736,07/10/2024,False
355,Waterford RiNo,A-1021,1x1,700,1736,07/11/2024,False
356,Waterford RiNo,A-1021,1x1,700,1736,07/12/2024,False
357,Waterford RiNo,A-1021,1x1,700,1736,07/13/2024,False
358,Waterford RiNo,A-1021,1x1,700,1736,07/14/2024,False
359,Waterford RiNo,A-1021,1x1,700,1736,07/15/2024,False
360,Waterford RiNo,A-1021,1x1,700,1736,07/16/2024,False
361,Waterford RiNo,A-1021,1x1,700,1736,07/17/2024,False
362,Waterford RiNo,A-1021,1x1,700,1736,07/18/2024,False
363,Waterford RiNo,A-1021,1x1,700,1736,07/19/2024,False
364,Waterford RiNo,A-1021,1x1,700,1736,07/20/2024,False
365,Waterford RiNo,A-1021,1x1,700,1736,07/21/2024,False
366,Waterford RiNo,A-1021,1x1,700,1736,07/22/2024,False
367,Waterford RiNo,A-1021,1x1,700,1736,07/23/2024,False
368,Waterford RiNo,A-1021,1x1,700,1736,07/24/2024,False
369,Waterford RiNo,A-1021,1x1,700,1736,07/25/2024,False
370,Waterford RiNo,A-1021,1x1,700,1736,07/26/2024,False
371,Waterford RiNo,A-1021,1x1,700,1736,07/27/2024,False
372,Waterford RiNo,A-1021,1x1,700,1736,07/28/2024,False
373,Waterford RiNo,A-1021,1x1,700,1736,07/29/2024,False
374,Waterford RiNo,A-1021,1x1,700,1736,07/30/2024,False
375,Waterford RiNo,A-1021,1x1,700,1730,07/31/2024,False
376,Waterford RiNo,A-1021,1x1,700,1725,08/01/2024,False
377,Waterford RiNo,A-1021,1x1,700,1721,08/02/2024,False
378,Waterford RiNo,A-1021,1x1,700,1717,08/03/2024,False
379,Waterford RiNo,A-1021,1x1,700,1714,08/04/2024,False
380,Waterford RiNo,A-1021,1x1,700,1703,08/05/2024,False
381,Waterford RiNo,A-1021,1x1,700,1698,08/06/2024,False
382,Waterford RiNo,A-1021,1x1,700,1698,08/07/2024,False
383,Waterford RiNo,A-1021,1x1,700,1693,08/08/2024,False
384,Waterford RiNo,A-1021,1x1,700,1686,08/09/2024,False
385,Waterford RiNo,A-1021,1x1,700,1677,08/10/2024,False
386,Waterford RiNo,A-1021,1x1,700,1681,08/11/2024,False
387,Waterford RiNo,A-1021,1x1,700,1679,08/12/2024,False
388,Waterford RiNo,A-1021,1x1,700,1785,08/13/2024,False
389,Waterford RiNo,A-1021,1x1,700,1786,08/14/2024,False
390,Waterford RiNo,A-1021,1x1,700,1788,08/15/2024,False
391,Waterford RiNo,A-1021,1x1,700,1623,08/16/2024,False
392,Waterford RiNo,A-1021,1x1,700,1630,08/17/2024,False
393,Waterford RiNo,A-1021,1x1,700,1630,08/18/2024,False
394,Waterford RiNo,A-1021,1x1,700,1627,08/19/2024,False
395,Waterford RiNo,A-1021,1x1,700,1624,08/20/2024,False
396,Waterford RiNo,A-1021,1x1,700,1626,08/21/2024,False
397,Waterford RiNo,A-1021,1x1,700,1634,08/22/2024,False
398,Waterford RiNo,A-1021,1x1,700,1639,08/23/2024,False
399,Waterford RiNo,A-1021,1x1,700,1641,08/24/2024,False
400,Waterford RiNo,A-1021,1x1,700,1641,08/25/2024,False
401,Waterford RiNo,A-1021,1x1,700,1714,08/26/2024,False
402,Waterford RiNo,A-1021,1x1,700,1717,08/27/2024,False
403,Waterford RiNo,A-1021,1x1,700,1729,08/28/2024,False
404,Waterford RiNo,A-1021,1x1,700,1732,08/29/2024,False
405,Waterford RiNo,A-1021,1x1,700,1741,08/30/2024,False
406,Waterford RiNo,A-1021,1x1,700,1554,08/31/2024,False
407,Waterford RiNo,A-1021,1x1,700,1562,09/01/2024,False
408,Waterford RiNo,A-1021,1x1,700,1568,09/02/2024,False
409,Waterford RiNo,A-1021,1x1,700,1568,09/03/2024,False
