building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2299,09/30/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2299,10/01/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2242,10/02/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2352,10/03/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/04/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/05/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/06/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/07/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/08/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/09/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/10/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/11/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/12/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/13/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/14/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/15/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/16/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/17/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/18/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/19/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/20/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/21/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/22/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/23/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/24/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/25/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/26/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/27/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/28/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/29/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/30/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,10/31/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,11/01/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,11/02/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,11/03/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,11/04/2023,False
The Atlantic Stonebriar,"Dallas-Fort Worth-Arlington, TX",0101,3x2,1300,2237,11/05/2023,False
